,Title,Genre,GenreCorrected,GenreListed
44,Dr. Jekyll and Mr. Hyde,horror,action,['action']
45,The Land Beyond the Sunset,unknown,,[]
46,The Musketeers of Pig Alley,drama,drama,['drama']
47,The New York Hat,unknown,,[]
48,Petticoat Camp,comedy,comedy,['comedy']
49,Put Yourself in His Place,drama,drama,['drama']
50,An Unseen Enemy,unknown,,[]
51,Atlantis,unknown,,[]
52,Barney Oldfield's Race for a Life,comedy,comedy,['comedy']
53,Bob's Baby,comedy,comedy,['comedy']
54,Cohen Saves the Flag,comedy,comedy,['comedy']
55,Dr. Jekyll and Mr. Hyde,horror,action,['action']
56,The Evidence of the Film,crime,action,['action']
57,The Face at the Window,drama,drama,['drama']
58,The Quakeress,drama,drama,['drama']
59,The Restless Spirit,drama,drama,['drama']
60,The Telephone Girl and the Lady,drama,drama,['drama']
61,The Avenging Conscience,"drama, horror","drama, action",['action' 'drama']
62,The Battle of the Sexes,drama,drama,['drama']
63,Between Showers,unknown,,[]
64,Brewster's Millions,comedy,comedy,['comedy']
65,A Busy Day,comedy,comedy,['comedy']
66,The Call of the North,adventure,action,['action']
67,Captain Alvarez,historical drama,cultural drama,['cultural' 'drama']
68,Caught in a Cabaret,comedy,comedy,['comedy']
69,Caught in the Rain,comedy,comedy,['comedy']
70,Cinderella,fantasy drama,fantasy drama,['drama' 'fantasy']
71,"Cruel, Cruel Love",comedy,comedy,['comedy']
72,Dough and Dynamite,comedy,comedy,['comedy']
73,The Escape,drama,drama,['drama']
74,A Film Johnnie,unknown,,[]
75,A Florida Enchantment,unknown,,[]
76,Gentlemen of Nerve,comedy,comedy,['comedy']
77,Getting Acquainted,comedy,comedy,['comedy']
78,His Father's Rifle,drama,drama,['drama']
79,"His Majesty, the Scarecrow of Oz",unknown,,[]
80,Charlie Chaplin,unknown,,[]
81,"Home, Sweet Home",biographical drama,cultural drama,['cultural' 'drama']
82,Imar the Servitor,unknown,,[]
83,In the Land of the Head Hunters,documentary drama,cultural drama,['cultural' 'drama']
84,The Knockout,comedy,comedy,['comedy']
85,Laughing Gas,comedy,comedy,['comedy']
86,Mabel at the Wheel,comedy,comedy,['comedy']
87,Mabel's Blunder,comedy,comedy,['comedy']
88,Mabel's Married Life,comedy,comedy,['comedy']
89,Mabel's Strange Predicament,comedy,comedy,['comedy']
90,Making a Living,comedy,comedy,['comedy']
91,The Masquerader,comedy,comedy,['comedy']
92,Neptune's Daughter,fantasy,fantasy,['fantasy']
93,The New Janitor,comedy,comedy,['comedy']
94,The Perils of Pauline,adventure serial,action serial,['action' 'serial']
95,The Property Man,comedy,comedy,['comedy']
96,Recreation,unknown,,[]
97,Rose of the Rancho,western,action,['action']
98,The Rounders,comedy,comedy,['comedy']
99,Salomy Jane,western,action,['action']
100,Should a Woman Divorce?,drama,drama,['drama']
101,The Squaw Man,western,action,['action']
102,Sweet and Low,unknown,,[]
103,Those Love Pangs,comedy,comedy,['comedy']
104,Tillie's Punctured Romance,comedy,comedy,['comedy']
105,The Wrath of the Gods,drama,drama,['drama']
106,After Five,comedy,comedy,['comedy']
107,Anna Karenina,historical drama,cultural drama,['cultural' 'drama']
108,Birth of a Nation,epic,action,['action']
109,The Bluffers,unknown,,[]
110,The Captive,historical,cultural,['cultural']
111,Carmen,adventure,action,['action']
112,The Champion,comedy short,comedy short,['comedy' 'short']
113,The Cheat,drama,drama,['drama']
114,Chimmie Fadden Out West,"comedy, western","comedy, action",['action' 'comedy']
115,Enoch Arden,drama,drama,['drama']
116,A Fool There Was,drama,drama,['drama']
117,Four Feathers,drama,drama,['drama']
118,Fresh from the Farm,comedy,comedy,['comedy']
119,Giving Them Fits,comedy,comedy,['comedy']
120,Inspiration,unknown,,[]
121,The Italian,drama,drama,['drama']
122,"Love, Loot and Crash",comedy,comedy,['comedy']
123,Pool Sharks,comedy short,comedy short,['comedy' 'short']
124,The Raven,biography,cultural,['cultural']
125,The Soul of Broadway,drama,drama,['drama']
126,The Toast of Death,drama,drama,['drama']
127,The Tramp,comedy short,comedy short,['comedy' 'short']
128,The Warrens of Virginia,drama,drama,['drama']
129,Work,comedy,comedy,['comedy']
130,"20,000 Leagues Under the Sea",action adventure,action action,['action']
131,The Abandonment,drama,drama,['drama']
132,The Aryan,western drama,action drama,['action' 'drama']
133,The Bondman,drama,drama,['drama']
134,Civilization,drama,drama,['drama']
135,A Daughter of the Gods,drama,drama,['drama']
136,Divorce and the Daughter,drama,drama,['drama']
137,Fatty and Mabel Adrift,short comedy,short comedy,['comedy' 'short']
138,The Fireman,short comedy,short comedy,['comedy' 'short']
139,Hell's Hinges,unknown,,[]
140,Hoodoo Ann,comedy–drama,comedy–drama,['comedy' 'drama']
141,Hulda from Holland,drama,drama,['drama']
142,Joan the Woman,historical,cultural,['cultural']
143,Lights of New York,drama,drama,['drama']
144,Lonesome Luke Leans to the Literary,short comedy,short comedy,['comedy' 'short']
145,Madame X,drama,drama,['drama']
146,The Man Who Would Not Die,unknown,,[]
147,Manhattan Madness,comedy,comedy,['comedy']
148,One A.M.,short comedy,short comedy,['comedy' 'short']
149,The Other Side of the Door,romantic drama,romance drama,['drama' 'romance']
150,Sherlock Holmes,mystery,thriller,['thriller']
151,The Soul's Cycle,drama,drama,['drama']
152,The Stepping Stone,drama,drama,['drama']
153,Under Two Flags,drama,drama,['drama']
154,Where Are My Children?,crime drama,action drama,['action' 'drama']
155,Youth's Endearing Charm,drama,drama,['drama']
156,All Aboard,comedy,comedy,['comedy']
157,The Bad Boy,crime drama,action drama,['action' 'drama']
158,Bucking Broadway,western,action,['action']
159,The Butcher Boy,comedy,comedy,['comedy']
160,Camille,drama,drama,['drama']
161,Cheyenne's Pal,western,action,['action']
162,Cleopatra,historical,cultural,['cultural']
163,The Devil-Stone,romance,romance,['romance']
164,Easy Street,comedy,comedy,['comedy']
165,Enlighten Thy Daughter,sexual hygiene/exploitation film,adult hygiene exploitation ,['adult' 'exploitation' 'hygiene']
166,Golden Rule Kate,western,action,['action']
167,Great Expectations,drama,drama,['drama']
168,The Gulf Between,comedy drama,comedy drama,['comedy' 'drama']
169,Her Right to Live,drama,drama,['drama']
170,His Wedding Night,comedy,comedy,['comedy']
171,The Immigrant,comedy,comedy,['comedy']
172,"In Again, Out Again",comedy,comedy,['comedy']
173,The Jury of Fate,drama,drama,['drama']
174,The Little American,war drama,action drama,['action' 'drama']
175,The Little Princess,drama,drama,['drama']
176,The Man Without a Country,drama,drama,['drama']
177,The Mate of the Sally Ann,comedy drama,comedy drama,['comedy' 'drama']
178,A Modern Musketeer,adventure,action,['action']
179,Oh Doctor!,comedy,comedy,['comedy']
180,"Peggy, the Will O' the Wisp",drama,drama,['drama']
181,The Poor Little Rich Girl,drama,drama,['drama']
182,Reaching for the Moon,adventure,action,['action']
183,Rebecca of Sunnybrook Farm,drama,drama,['drama']
184,A Reckless Romeo,comedy,comedy,['comedy']
185,The Rough House,comedy,comedy,['comedy']
186,Souls in Pawn,spy,action,['action']
187,Straight Shooting,western,action,['action']
188,A Strange Transgressor,drama,drama,['drama']
189,Wild and Woolly,unknown,,[]
190,The Woman God Forgot,romance,romance,['romance']
191,All Woman,comedy,comedy,['comedy']
192,Amarilly of Clothes-Line Alley,drama,drama,['drama']
193,Are Crooks Dishonest?,comedy,comedy,['comedy']
194,Arizona,drama,drama,['drama']
195,Beauty and the Rogue,crime drama,action drama,['action' 'drama']
196,"Believe Me, Xantippe",comedy,comedy,['comedy']
197,The Bell Boy,comedy short,comedy short,['comedy' 'short']
198,The Blue Bird,fantasy,fantasy,['fantasy']
199,Bound in Morocco,unknown,,[]
200,The Bride's Awakening,drama,drama,['drama']
201,Cecilia of the Pink Roses,drama,drama,['drama']
202,The Cook,comedy,comedy,['comedy']
203,The Craving,drama,drama,['drama']
204,The Deciding Kiss,comedy,comedy,['comedy']
205,The Eyes of Julia Deep,comedy drama,comedy drama,['comedy' 'drama']
206,The Eyes of Mystery,mystery,thriller,['thriller']
207,Face Value,drama,drama,['drama']
208,The Forbidden City,drama,drama,['drama']
209,Friend Husband,comedy drama,comedy drama,['comedy' 'drama']
210,Fuss and Feathers,comedy,comedy,['comedy']
211,The Ghost of Slumber Mountain,fantasy,fantasy,['fantasy']
212,The Goddess of Lost Lake,drama,drama,['drama']
213,The Great Love,war drama,action drama,['action' 'drama']
214,The Greatest Thing in Life,war drama,action drama,['action' 'drama']
215,He Comes Up Smiling,adventure,action,['action']
216,Headin' South,romantic comedy,romance comedy,['comedy' 'romance']
217,The Heart of Humanity,propaganda,cultural,['cultural']
218,Hearts of the World,ww1 propaganda,action cultural,['action' 'cultural']
219,Hell Bent,western,action,['action']
220,The House of Mirth,drama,drama,['drama']
221,Huck and Tom,comedy drama,comedy drama,['comedy' 'drama']
222,The Legion of Death,drama,drama,['drama']
223,Men Who Have Made Love to Me,biopic,cultural,['cultural']
224,Mickey,comedy,comedy,['comedy']
225,Moonshine,comedy,comedy,['comedy']
226,Mr. Fix-It,romantic comedy,romance comedy,['comedy' 'romance']
227,Nine-Tenths of the Law,drama,drama,['drama']
228,The Non-Stop Kid,comedy,comedy,['comedy']
229,Old Wives for New,drama,drama,['drama']
230,Out of the Inkwell,animated series,animation series,['animation' 'series']
231,Out West,comedy,comedy,['comedy']
232,Powers That Prey,comedy drama,comedy drama,['comedy' 'drama']
233,Revenge,western,action,['action']
234,The Romance of Tarzan,adventure,action,['action']
235,Salomé,drama,drama,['drama']
236,The Scarlet Drop,western,action,['action']
237,Set Free,drama,drama,['drama']
238,Shoulder Arms,comedy,comedy,['comedy']
239,Social Briars,comedy drama,comedy drama,['comedy' 'drama']
240,The Squaw Man,western,action,['action']
241,Stella Maris,drama,drama,['drama']
242,Tarzan of the Apes,adventure,action,['action']
243,Till I Come Back to You,drama,drama,['drama']
244,Treasure Island,adventure,action,['action']
245,Under the Yoke,drama,drama,['drama']
246,Under the Greenwood Tree,unknown,,[]
247,The Venus Model,romantic comedy,romance comedy,['comedy' 'romance']
248,We Can't Have Everything,drama,drama,['drama']
249,When Do We Eat?,comedy,comedy,['comedy']
250,Which Woman?,drama,drama,['drama']
251,The Whispering Chorus,drama,drama,['drama']
252,Anne of Green Gables,comedy drama,comedy drama,['comedy' 'drama']
253,Ask Father,comedy,comedy,['comedy']
254,Back Stage,short,short,['short']
255,Better Times,drama,drama,['drama']
256,Blind Husbands,drama romance,drama romance,['drama' 'romance']
257,Bolshevism on Trial,drama,drama,['drama']
258,Broken Blossoms,drama,drama,['drama']
259,Bumping Into Broadway,comedy,comedy,['comedy']
260,Daddy-Long-Legs,drama,drama,['drama']
261,Dangerous Hours,drama,drama,['drama']
262,A Day's Pleasure,short,short,['short']
263,The Delicious Little Devil,comedy drama,comedy drama,['comedy' 'drama']
264,Don't Change Your Husband,comedy,comedy,['comedy']
265,The Echo of Youth,drama,drama,['drama']
266,The Exquisite Thief,drama,drama,['drama']
267,The False Faces,drama,drama,['drama']
268,"For Better, For Worse",drama,drama,['drama']
269,From Hand to Mouth,comedy,comedy,['comedy']
270,The Girl Who Stayed at Home,drama,drama,['drama']
271,The Grim Game,drama,drama,['drama']
272,A Gun Fightin' Gentleman,western,action,['action']
273,Happy Though Married,comedy,comedy,['comedy']
274,The Haunted Bedroom,drama,drama,['drama']
275,Hawthorne of the U.S.A.,comedy,comedy,['comedy']
276,Heart o' the Hills,drama,drama,['drama']
277,"His Majesty, the American",comedy,comedy,['comedy']
278,The Homesteader,unknown,,[]
279,The Law of Men,drama,drama,['drama']
280,Love's Prisoner,crime drama,action drama,['action' 'drama']
281,Male and Female,adventure,action,['action']
282,A Man's Fight,drama,drama,['drama']
283,The Miracle Man,drama,drama,['drama']
284,The Miracle of Love,drama,drama,['drama']
285,My Lady's Garter,mystery,thriller,['thriller']
286,Nine-Tenths of the Law,drama,drama,['drama']
287,Pistols for Breakfast,comedy,comedy,['comedy']
288,The Probation Wife,comedy,comedy,['comedy']
289,Ravished Armenia,drama,drama,['drama']
290,The Roaring Road,romance,romance,['romance']
291,A Rogue's Romance,crime drama,action drama,['action' 'drama']
292,A Romance of Happy Valley,drama,drama,['drama']
293,Sahara,drama,drama,['drama']
294,Scarlet Days,western,action,['action']
295,A Society Exile,drama,drama,['drama']
296,Soldiers of Fortune,adventure,action,['action']
297,Sunnyside,comedy,comedy,['comedy']
298,The Test of Honor,drama,drama,['drama']
299,True Heart Susie,drama,drama,['drama']
300,The Turn in the Road,drama,drama,['drama']
301,The Unpainted Woman,drama,drama,['drama']
302,The Virtuous Thief,drama,drama,['drama']
303,What Every Woman Learns,drama,drama,['drama']
304,When the Clouds Roll By,comedy,comedy,['comedy']
305,The White Heather,drama,drama,['drama']
306,The World and Its Woman,drama,drama,['drama']
307,Yankee Doodle in Berlin,comedy,comedy,['comedy']
308,You're Fired,comedy,comedy,['comedy']
309,813,mystery,thriller,['thriller']
310,Among Those Present,comedy short,comedy short,['comedy' 'short']
311,April Folly,drama,drama,['drama']
312,Blind Youth,drama,drama,['drama']
313,A Child for Sale,melodrama,drama,['drama']
314,Convict 13,comedy,comedy,['comedy']
315,The Copperhead,period drama, drama,['drama']
316,The Devil's Pass Key,drama,drama,['drama']
317,A Double-Dyed Deceiver,crime drama,action drama,['action' 'drama']
318,Dr. Jekyll and Mr. Hyde,horror,action,['action']
319,The False Road,drama,drama,['drama']
320,The Family Honor,drama,drama,['drama']
321,The Garage,comedy short,comedy short,['comedy' 'short']
322,The Girl in Number 29,drama,drama,['drama']
323,Hairpins,drama,drama,['drama']
324,Haunted Spooks,comedy,comedy,['comedy']
325,Her Husband's Friend,drama,drama,['drama']
326,High and Dizzy,comedy,comedy,['comedy']
327,Huckleberry Finn,adventure,action,['action']
328,The Idol Dancer,drama,drama,['drama']
329,In the Heart of a Fool,drama,drama,['drama']
330,The Jack-Knife Man,drama,drama,['drama']
331,Judy of Rogue's Harbor,drama,drama,['drama']
332,Lady Rose's Daughter,drama,drama,['drama']
333,The Last of the Mohicans,adventure,action,['action']
334,Love,romance,romance,['romance']
335,The Love Flower,drama,drama,['drama']
336,Madame X,drama,drama,['drama']
337,The Man Who Lost Himself,comedy drama,comedy drama,['comedy' 'drama']
338,The Mark of Zorro,swashbuckler,action,['action']
339,Neighbors,comedy,comedy,['comedy']
340,Now or Never,comedy,comedy,['comedy']
341,"Number, Please?",comedy,comedy,['comedy']
342,Old Lady 31,comedy drama,comedy drama,['comedy' 'drama']
343,One Week,comedy,comedy,['comedy']
344,The Penalty,crime,action,['action']
345,Pollyanna,drama,drama,['drama']
346,Remodeling Her Husband,comedy,comedy,['comedy']
347,Romance,romance,romance,['romance']
348,The Round-Up,comedy,comedy,['comedy']
349,The Saphead,comedy,comedy,['comedy']
350,The Scarecrow,comedy short,comedy short,['comedy' 'short']
351,Sex,drama,drama,['drama']
352,Shore Acres,drama,drama,['drama']
353,Silk Hosiery,comedy,comedy,['comedy']
354,Silk Husbands and Calico Wives,drama,drama,['drama']
355,The Skywayman,unknown,,[]
356,The Slim Princess,comedy,comedy,['comedy']
357,Something to Think About,drama,drama,['drama']
358,A Splendid Hazard,drama,drama,['drama']
359,Suds,comedy,comedy,['comedy']
360,Treasure Island,adventure,action,['action']
361,The Virgin of Stamboul,drama,drama,['drama']
362,Way Down East,drama,drama,['drama']
363,Why Change Your Wife?,comedy,comedy,['comedy']
364,Within Our Gates,drama,drama,['drama']
365,The Woman in the Suitcase,drama,drama,['drama']
366,The Ace of Hearts,crime drama,action drama,['action' 'drama']
367,The Adventures of Tarzan,unknown,,[]
368,The Affairs of Anatol,drama,drama,['drama']
369,After the Show,unknown,,[]
370,Among Those Present,comedy,comedy,['comedy']
371,The Big Punch,western,action,['action']
372,The Blot,melodrama,drama,['drama']
373,The Boat,comedy,comedy,['comedy']
374,Brewster's Millions,comedy,comedy,['comedy']
375,Camille,unknown,,[]
376,The Conquering Power,romance drama,romance drama,['drama' 'romance']
377,Disraeli,biography,cultural,['cultural']
378,Experience,drama,drama,['drama']
379,Forbidden Fruit,drama,drama,['drama']
380,Forever,romance,romance,['romance']
381,The Four Horsemen of the Apocalypse,drama,drama,['drama']
382,The Goat,comedy,comedy,['comedy']
383,The Haunted House,comedy,comedy,['comedy']
384,Heedless Moths,drama,drama,['drama']
385,The High Sign,comedy short,comedy short,['comedy' 'short']
386,I Do,comedy,comedy,['comedy']
387,The Idle Class,unknown,,[]
388,Jim the Penman,crime drama,action drama,['action' 'drama']
389,The Kid,comedy drama,comedy drama,['comedy' 'drama']
390,Little Lord Fauntleroy,comedy drama,comedy drama,['comedy' 'drama']
391,The Lotus Eater,drama,drama,['drama']
392,The Love Light,drama,drama,['drama']
393,Love Never Dies,drama,drama,['drama']
394,The Lucky Dog,comedy,comedy,['comedy']
395,The Magic Cup,unknown,,[]
396,Mama's Affair,romantic comedy,romance comedy,['comedy' 'romance']
397,Mother O' Mine,drama,drama,['drama']
398,Never Weaken,comedy,comedy,['comedy']
399,No Woman Knows,drama,drama,['drama']
400,Now or Never,comedy,comedy,['comedy']
401,The Nut,comedy,comedy,['comedy']
402,The Offenders,unknown,,[]
403,Orphans of the Storm,melodrama,drama,['drama']
404,The Playhouse,comedy,comedy,['comedy']
405,Red Courage,unknown,,[]
406,Roads of Destiny,drama,drama,['drama']
407,A Sailor-Made Man,comedy,comedy,['comedy']
408,The Sea Lion,adventure,action,['action']
409,Sentimental Tommy,unknown,,[]
410,Seven Years Bad Luck,comedy,comedy,['comedy']
411,The Sheik,"drama, adventure","drama, action",['action' 'drama']
412,Sheltered Daughters,comedy,comedy,['comedy']
413,The Silver Lining,drama,drama,['drama']
414,The Sky Pilot,drama,drama,['drama']
415,Sure Fire,western,action,['action']
416,Through the Back Door,unknown,,[]
417,Tol'able David,drama,drama,['drama']
418,Uncharted Seas,romance,romance,['romance']
419,White and Unmarried,unknown,,[]
420,Woman's Place,drama,drama,['drama']
421,Beyond the Rocks,drama,drama,['drama']
422,A Blind Bargain,horror,action,['action']
423,Blood and Sand,drama,drama,['drama']
424,Clarence,comedy drama,comedy drama,['comedy' 'drama']
425,Daydreams,comedy,comedy,['comedy']
426,Dr. Jack,comedy,comedy,['comedy']
427,Dusk to Dawn,drama,drama,['drama']
428,The Electric House,comedy,comedy,['comedy']
429,Fair Lady,drama,drama,['drama']
430,Foolish Wives,drama,drama,['drama']
431,The Frozen North,unknown,,[]
432,Grandma's Boy,comedy,comedy,['comedy']
433,Heroes of the Street,crime comedy,action comedy,['action' 'comedy']
434,The Loaded Door,western,action,['action']
435,Manslaughter,drama,drama,['drama']
436,Moran of the Lady Letty,adventure,action,['action']
437,My Boy,unknown,,[]
438,Nanook of the North,documentary,cultural,['cultural']
439,Oliver Twist,drama,drama,['drama']
440,The Paleface,comedy western,comedy action,['action' 'comedy']
441,Pay Day,comedy,comedy,['comedy']
442,Peacock Alley,drama,drama,['drama']
443,Peg o' My Heart,drama,drama,['drama']
444,The Prisoner of Zenda,swashbuckler,action,['action']
445,Ridin' Wild,western,action,['action']
446,Robin Hood,swashbuckler,action,['action']
447,Saturday Night,unknown,,[]
448,Shadows,melodrama,drama,['drama']
449,Tess of the Storm Country,unknown,,[]
450,The Toll of the Sea,unknown,,[]
451,Trifling Women,drama,drama,['drama']
452,Up and at 'Em,romantic comedy,romance comedy,['comedy' 'romance']
453,When Knighthood Was in Flower,romance drama,romance drama,['drama' 'romance']
454,Wildness of Youth,drama,drama,['drama']
455,The Woman He Married,drama,drama,['drama']
456,The Young Rajah,adventure,action,['action']
457,Ambrose Applejohn's Adventure,drama,drama,['drama']
458,Ashes of Vengeance,drama,drama,['drama']
459,The Balloonatic,comedy,comedy,['comedy']
460,Black Oxen,drama,drama,['drama']
461,The Call of the Canyon,western,action,['action']
462,The Country Kid,comedy drama,comedy drama,['comedy' 'drama']
463,The Daring Years,melodrama,drama,['drama']
464,The Extra Girl,comedy,comedy,['comedy']
465,Gentle Julia,romance,romance,['romance']
466,The Hunchback of Notre Dame,drama,drama,['drama']
467,Merry-Go-Round,drama,drama,['drama']
468,Our Hospitality,comedy,comedy,['comedy']
469,The Pilgrim,comedy,comedy,['comedy']
470,Safety Last!,comedy,comedy,['comedy']
471,Scaramouche,adventure,action,['action']
472,The Shock,drama,drama,['drama']
473,The Shriek of Araby,comedy,comedy,['comedy']
474,The Silent Command,drama,drama,['drama']
475,Slippy McGee,drama,drama,['drama']
476,Souls for Sale,drama,drama,['drama']
477,The Ten Commandments,epic,action,['action']
478,Three Ages,comedy,comedy,['comedy']
479,The White Sister,drama,drama,['drama']
480,Why Worry?,comedy,comedy,['comedy']
481,A Woman of Paris,romance drama,romance drama,['drama' 'romance']
482,The Age of Innocence,drama,drama,['drama']
483,America,historical,cultural,['cultural']
484,The Arab,romance,romance,['romance']
485,Beau Brummel,historical,cultural,['cultural']
486,Captain January,unknown,,[]
487,"Circe, the Enchantress",drama,drama,['drama']
488,Dante's Inferno,fantasy drama,fantasy drama,['drama' 'fantasy']
489,The Enchanted Cottage,romance,romance,['romance']
490,The Family Secret,drama,drama,['drama']
491,Feet of Clay,drama,drama,['drama']
492,Girl Shy,romantic comedy,romance comedy,['comedy' 'romance']
493,Greed,drama,drama,['drama']
494,He Who Gets Slapped,drama,drama,['drama']
495,Helen's Babies,comedy,comedy,['comedy']
496,Her Night of Romance,romance,romance,['romance']
497,His Hour,drama,drama,['drama']
498,Hot Water,comedy,comedy,['comedy']
499,The Iron Horse,western,action,['action']
500,Isn't Life Wonderful,drama,drama,['drama']
501,Janice Meredith,historical,cultural,['cultural']
502,Listen Lester,comedy drama,comedy drama,['comedy' 'drama']
503,Little Robinson Crusoe,unknown,,[]
504,Manhandled,comedy,comedy,['comedy']
505,Monsieur Beaucaire,drama,drama,['drama']
506,The Navigator,comedy,comedy,['comedy']
507,One Night in Rome,romance,romance,['romance']
508,Peter Pan,"fantasy, family","fantasy, child",['child' 'fantasy']
509,The Red Lily,drama,drama,['drama']
510,Romola,drama,drama,['drama']
511,The Sea Hawk,swashbuckler,action,['action']
512,Secrets,drama,drama,['drama']
513,"Sherlock, Jr.",comedy,comedy,['comedy']
514,The Shooting of Dan McGrew,drama,drama,['drama']
515,The Thief of Bagdad,swashbuckler,action,['action']
516,Three Weeks,romance drama,romance drama,['drama' 'romance']
517,Wild Oranges,drama,drama,['drama']
518,Wine of Youth,comedy drama,comedy drama,['comedy' 'drama']
519,The Yankee Consul,comedy,comedy,['comedy']
520,Adventure,adventure,action,['action']
521,Ben-Hur: A Tale of the Christ,epic,action,['action']
522,The Big Parade,war,action,['action']
523,Cheaper to Marry,drama,drama,['drama']
524,The Circle,romance drama,romance drama,['drama' 'romance']
525,Cobra,drama,drama,['drama']
526,Confessions of a Queen,drama,drama,['drama']
527,Dangerous Innocence,romantic comedy,romance comedy,['comedy' 'romance']
528,The Dark Angel,drama,drama,['drama']
529,"Don Q, Son of Zorro",swashbuckler,action,['action']
530,The Eagle,historical,cultural,['cultural']
531,Fifty-Fifty,drama,drama,['drama']
532,The Freshman,comedy,comedy,['comedy']
533,Go West,"comedy, western","comedy, action",['action' 'comedy']
534,The Gold Rush,"comedy, adventure","comedy, action",['action' 'comedy']
535,Hogan's Alley,comedy,comedy,['comedy']
536,Kentucky Pride,drama,drama,['drama']
537,The King on Main Street,romantic comedy,romance comedy,['comedy' 'romance']
538,A Kiss for Cinderella,fantasy,fantasy,['fantasy']
539,The Lady,drama,drama,['drama']
540,Lady Windermere's Fan,comedy,comedy,['comedy']
541,Little Annie Rooney,drama,drama,['drama']
542,The Lost World,"fantasy, adventure","fantasy, action",['action' 'fantasy']
543,The Lucky Devil,comedy drama,comedy drama,['comedy' 'drama']
544,The Lucky Horseshoe,western,action,['action']
545,The Mad Whirl,drama,drama,['drama']
546,The Man Who Found Himself,drama,drama,['drama']
547,The Merry Widow,unknown,,[]
548,The Midnight Girl,unknown,,[]
549,The Mystic,thriller,action,['action']
550,Old Clothes,drama,drama,['drama']
551,Phantom of the Opera,horror,action,['action']
552,The Plastic Age,dramatic comedy,dramatic comedy,['comedy' 'dramatic']
553,Pretty Ladies,comedy drama,comedy drama,['comedy' 'drama']
554,Proud Flesh,comedy drama,comedy drama,['comedy' 'drama']
555,The Rag Man,drama,drama,['drama']
556,"Sally, Irene and Mary",romance,romance,['romance']
557,Sally of the Sawdust,comedy,comedy,['comedy']
558,The Salvation Hunters,drama,drama,['drama']
559,Seven Chances,comedy,comedy,['comedy']
560,Seven Sinners,crime comedy,action comedy,['action' 'comedy']
561,Smouldering Fires,drama,drama,['drama']
562,Stage Struck,comedy,comedy,['comedy']
563,The Teaser,romantic comedy/drama,romance comedy drama,['comedy' 'drama' 'romance']
564,"Time, the Comedian",drama,drama,['drama']
565,Too Many Kisses,comedy,comedy,['comedy']
566,The Tower of Lies,drama,drama,['drama']
567,The Trail Rider,western,action,['action']
568,Tumbleweeds,western,action,['action']
569,The Unholy Three,crime,action,['action']
570,Wizard of Oz,fantasy,fantasy,['fantasy']
571,Wolf Blood,horror,action,['action']
572,Across the Pacific,adventure,action,['action']
573,Bardelys the Magnificent,romantic drama,romance drama,['drama' 'romance']
574,The Bat,"mystery, thriller","thriller, action",['action' 'thriller']
575,Battling Butler,comedy,comedy,['comedy']
576,Beau Geste,swashbuckler,action,['action']
577,The Bells,crime thriller,action action,['action']
578,The Better 'Ole,comedy,comedy,['comedy']
579,Beverly of Graustark,comedy,comedy,['comedy']
580,The Black Pirate,swashbuckler,action,['action']
581,The Blackbird,drama,drama,['drama']
582,La Bohème,drama,drama,['drama']
583,The Boy Friend,drama,drama,['drama']
584,Broken Hearts of Hollywood,comedy drama,comedy drama,['comedy' 'drama']
585,Brown of Harvard,american football,american cultural,['american' 'cultural']
